ch	pt	fine_thr	a_fit	b_fit
 6	 1	 5	220.774	1.979
 6	 1	 6	219.783	1.984
 6	 1	 7	218.881	1.920
 6	 2	 0	225.656	2.208
 6	 2	 1	224.735	2.254
 6	 2	 2	223.826	2.211
 6	 2	 3	222.659	2.251
 6	 2	 4	221.715	2.234
 6	 2	 5	220.761	2.263
 6	 2	 6	219.707	2.187
 6	 2	 7	218.797	2.195
 6	 3	 0	225.784	2.584
 6	 3	 1	224.668	2.637
 6	 3	 2	223.773	2.687
 6	 3	 3	222.599	2.681
 6	 3	 4	221.656	2.574
 6	 3	 5	220.654	2.575
 6	 3	 6	219.813	2.484
 6	 3	 7	218.834	2.484
 6	 4	 0	225.708	2.930
 6	 4	 1	224.726	2.928
 6	 4	 2	223.742	2.949
 6	 4	 3	222.803	2.909
 6	 4	 4	221.718	2.965
 6	 4	 5	220.650	2.915
 6	 4	 6	219.741	2.912
 6	 4	 7	218.757	2.826
 6	 5	 0	225.747	3.519
 6	 5	 1	224.620	3.532
 6	 5	 2	223.657	3.631
 6	 5	 3	222.685	3.468
 6	 5	 4	221.557	3.552
 6	 5	 5	220.791	3.496
 6	 5	 6	219.585	3.393
 6	 5	 7	218.699	3.484
 6	 6	 0	225.649	4.062
 6	 6	 1	224.613	4.120
 6	 6	 2	223.710	4.028
 6	 6	 3	222.616	3.992
 6	 6	 4	221.579	4.102
 6	 6	 5	220.562	4.078
 6	 6	 6	219.709	3.979
 6	 6	 7	218.579	3.984
 6	 7	 0	225.616	4.657
 6	 7	 1	224.543	4.740
 6	 7	 2	223.606	4.598
 6	 7	 3	222.545	4.624
 6	 7	 4	221.592	4.640
 6	 7	 5	220.662	4.617
 6	 7	 6	219.731	4.607
 6	 7	 7	218.536	4.584
 7	 0	 0	234.307	1.882
 7	 0	 1	233.248	1.702
 7	 0	 2	232.444	1.931
 7	 0	 3	231.464	2.097
 7	 0	 4	230.486	2.109
 7	 0	 5	229.429	2.179
 7	 0	 6	228.643	2.128
 7	 0	 7	227.508	2.063
 7	 1	 0	234.076	1.414
 7	 1	 1	233.148	1.337
 7	 1	 2	232.133	1.417
 7	 1	 3	231.147	1.426
 7	 1	 4	230.141	1.465
 7	 1	 5	229.179	1.457
 7	 1	 6	228.271	1.343
 7	 1	 7	227.279	1.352
 7	 2	 0	234.029	1.128
 7	 2	 1	233.059	1.107
 7	 2	 2	232.115	1.131
 7	 2	 3	231.113	1.124
 7	 2	 4	230.059	1.116
 7	 2	 5	229.039	1.059
 7	 2	 6	228.223	1.108
 7	 2	 7	227.261	1.125
 7	 3	 0	234.029	0.953
 7	 3	 1	233.038	0.977
 7	 3	 2	232.122	1.002
 7	 3	 3	231.129	1.054
 7	 3	 4	230.059	0.910
 7	 3	 5	229.135	0.927
 7	 3	 6	228.144	0.959
 7	 3	 7	227.173	0.990
 7	 4	 0	234.070	0.846
 7	 4	 1	233.061	0.919
 7	 4	 2	232.110	0.842
 7	 4	 3	231.076	0.940
 7	 4	 4	230.052	0.858
 7	 4	 5	229.131	0.797
 7	 4	 6	228.218	0.820
 7	 4	 7	227.262	0.889
 7	 5	 0	234.118	0.819
 7	 5	 1	233.092	0.860
 7	 5	 2	232.223	0.824
 7	 5	 3	231.162	0.852
 7	 5	 4	230.132	0.823
 7	 5	 5	229.180	0.758
 7	 5	 6	228.289	0.838
 7	 5	 7	227.249	0.805
 7	 6	 0	234.175	0.821
 7	 6	 1	233.273	0.778
 7	 6	 2	232.380	0.848
 7	 6	 3	231.284	0.842
 7	 6	 4	230.224	0.762
 7	 6	 5	229.252	0.757
 7	 6	 6	228.328	0.819
 7	 6	 7	227.395	0.785
 7	 7	 0	234.247	0.825
 7	 7	 1	233.340	0.802
 7	 7	 2	232.366	0.807
 7	 7	 3	231.326	0.871
 7	 7	 4	230.352	0.877
 7	 7	 5	229.378	0.841
 7	 7	 6	228.476	0.894
 7	 7	 7	227.465	0.867
 8	 0	 0	230.430	3.304
 8	 0	 1	229.113	2.868
 8	 0	 2	228.341	3.218
 8	 0	 3	227.490	3.687
 8	 0	 4	226.448	3.538
 8	 0	 5	225.275	3.621
 8	 0	 6	224.404	3.769
 8	 0	 7	223.276	3.446
 8	 1	 0	230.102	2.894
 8	 1	 1	228.944	2.658
 8	 1	 2	228.064	2.629
 8	 1	 3	226.960	2.710
 8	 1	 4	225.890	2.850
 8	 1	 5	224.963	2.914
 8	 1	 6	223.852	2.595
 8	 1	 7	222.754	2.754
 8	 2	 0	229.941	2.355
 8	 2	 1	228.939	2.238
 8	 2	 2	227.918	2.115
 8	 2	 3	226.802	2.180
 8	 2	 4	225.737	2.207
 8	 2	 5	224.735	2.227
 8	 2	 6	223.665	2.094
 8	 2	 7	222.608	2.091
 8	 3	 0	229.956	2.024
 8	 3	 1	228.929	1.822
 8	 3	 2	227.848	1.784
 8	 3	 3	226.887	2.036
 8	 3	 4	225.777	1.804
 8	 3	 5	224.728	1.963
 8	 3	 6	223.697	1.698
 8	 3	 7	222.631	1.821
 8	 4	 0	229.919	1.731
 8	 4	 1	228.885	1.565
 8	 4	 2	227.907	1.311
 8	 4	 3	226.877	1.822
 8	 4	 4	225.789	1.556
 8	 4	 5	224.708	1.564
 8	 4	 6	223.660	1.631
 8	 4	 7	222.601	1.608
 8	 5	 0	229.875	1.383
 8	 5	 1	228.948	1.280
 8	 5	 2	227.874	1.074
 8	 5	 3	226.756	1.368
 8	 5	 4	225.760	1.285
 8	 5	 5	224.711	1.297
 8	 5	 6	223.694	1.351
 8	 5	 7	222.614	1.326
 8	 6	 0	229.846	1.117
 8	 6	 1	228.860	1.113
 8	 6	 2	227.909	1.165
 8	 6	 3	226.832	1.188
 8	 6	 4	225.753	1.113
 8	 6	 5	224.732	1.196
 8	 6	 6	223.712	1.194
 8	 6	 7	222.677	1.172
 8	 7	 0	229.833	1.016
 8	 7	 1	228.881	1.006
 8	 7	 2	227.919	1.046
 8	 7	 3	226.846	1.101
 8	 7	 4	225.813	1.100
 8	 7	 5	224.731	1.027
 8	 7	 6	223.718	1.053
 8	 7	 7	222.714	1.105
 9	 0	 0	224.733	3.631
 9	 0	 1	223.616	3.550
 9	 0	 2	222.628	3.396
 9	 0	 3	221.648	3.758
 9	 0	 4	220.415	3.709
 9	 0	 5	219.438	3.706
 9	 0	 6	218.494	3.824
 9	 0	 7	217.368	3.596
 9	 1	 0	224.321	3.186
 9	 1	 1	223.168	2.841
 9	 1	 2	222.066	2.828
 9	 1	 3	221.206	2.914
 9	 1	 4	219.847	2.913
 9	 1	 5	218.963	3.000
 9	 1	 6	217.851	2.830
 9	 1	 7	216.893	2.929
 9	 2	 0	224.176	2.742
 9	 2	 1	223.051	2.598
 9	 2	 2	222.055	2.537
 9	 2	 3	221.039	2.583
 9	 2	 4	219.855	2.601
 9	 2	 5	218.793	2.646
 9	 2	 6	217.683	2.288
 9	 2	 7	216.726	2.532
 9	 3	 0	224.154	2.643
 9	 3	 1	223.042	2.512
 9	 3	 2	221.953	2.493
 9	 3	 3	220.887	2.636
 9	 3	 4	219.751	2.466
