ch	pt	fine_thr	a_fit	b_fit
 7	 5	 5	217.055	0.516
 7	 5	 6	216.074	0.560
 7	 5	 7	215.150	0.527
 7	 6	 0	221.648	1.049
 7	 6	 1	220.677	1.031
 7	 6	 2	219.823	1.035
 7	 6	 3	218.784	0.968
 7	 6	 4	217.896	1.030
 7	 6	 5	217.005	0.491
 7	 6	 6	216.100	0.487
 7	 6	 7	215.133	0.557
 7	 7	 0	221.620	0.933
 7	 7	 1	220.666	0.913
 7	 7	 2	219.761	0.878
 7	 7	 3	218.803	0.895
 7	 7	 4	217.927	0.993
 7	 7	 5	217.007	0.464
 7	 7	 6	216.110	0.470
 7	 7	 7	215.163	0.498
 8	 0	 0	233.590	1.661
 8	 0	 1	232.545	1.633
 8	 0	 2	231.576	1.647
 8	 0	 3	230.490	1.673
 8	 0	 4	229.510	1.730
 8	 0	 5	228.478	1.573
 8	 0	 6	227.415	1.085
 8	 0	 7	226.384	1.073
 8	 1	 0	233.455	1.322
 8	 1	 1	232.457	1.245
 8	 1	 2	231.390	1.184
 8	 1	 3	230.263	1.275
 8	 1	 4	229.373	1.241
 8	 1	 5	228.280	1.281
 8	 1	 6	227.317	0.717
 8	 1	 7	226.257	0.728
 8	 2	 0	233.405	0.977
 8	 2	 1	232.355	1.025
 8	 2	 2	231.330	0.906
 8	 2	 3	230.240	1.028
 8	 2	 4	229.267	0.918
 8	 2	 5	228.223	0.556
 8	 2	 6	227.241	0.542
 8	 2	 7	226.165	0.556
 8	 3	 0	233.345	0.800
 8	 3	 1	232.308	0.828
 8	 3	 2	231.274	0.873
 8	 3	 3	230.167	0.879
 8	 3	 4	229.222	0.880
 8	 3	 5	228.229	0.402
 8	 3	 6	227.197	0.442
 8	 3	 7	226.191	0.417
 8	 4	 0	233.358	0.684
 8	 4	 1	232.352	0.659
 8	 4	 2	231.240	0.779
 8	 4	 3	230.281	0.712
 8	 4	 4	229.236	0.794
 8	 4	 5	228.222	0.345
 8	 4	 6	227.178	0.329
 8	 4	 7	226.178	0.329
 8	 5	 0	233.403	0.616
 8	 5	 1	232.357	0.704
 8	 5	 2	231.233	0.723
 8	 5	 3	230.235	0.719
 8	 5	 4	229.312	0.660
 8	 5	 5	228.225	0.301
 8	 5	 6	227.182	0.298
 8	 5	 7	226.152	0.277
 8	 6	 0	233.446	0.567
 8	 6	 1	232.383	0.638
 8	 6	 2	231.300	0.723
 8	 6	 3	230.233	0.756
 8	 6	 4	229.330	0.590
 8	 6	 5	228.300	0.322
 8	 6	 6	227.227	0.337
 8	 6	 7	226.267	0.292
 8	 7	 0	233.382	0.635
 8	 7	 1	232.383	0.596
 8	 7	 2	231.320	0.599
 8	 7	 3	230.323	0.647
 8	 7	 4	229.317	0.590
 8	 7	 5	228.219	0.311
 8	 7	 6	227.251	0.322
 8	 7	 7	226.207	0.329
 9	 0	 0	226.619	2.139
 9	 0	 1	225.588	2.277
 9	 0	 2	224.620	2.237
 9	 0	 3	223.505	2.127
 9	 0	 4	222.570	2.045
 9	 0	 5	221.629	2.057
 9	 0	 6	220.572	1.238
 9	 0	 7	219.624	1.186
 9	 1	 0	226.335	1.684
 9	 1	 1	225.421	1.689
 9	 1	 2	224.358	1.635
 9	 1	 3	223.449	1.724
 9	 1	 4	222.424	1.668
 9	 1	 5	221.416	1.730
 9	 1	 6	220.385	0.839
 9	 1	 7	219.498	0.825
 9	 2	 0	226.309	1.381
 9	 2	 1	225.245	1.409
 9	 2	 2	224.326	1.419
 9	 2	 3	223.336	1.347
 9	 2	 4	222.328	1.324
 9	 2	 5	221.351	0.678
 9	 2	 6	220.312	0.641
 9	 2	 7	219.380	0.605
 9	 3	 0	226.230	1.239
 9	 3	 1	225.218	1.237
 9	 3	 2	224.292	1.299
 9	 3	 3	223.353	1.157
 9	 3	 4	222.336	1.261
 9	 3	 5	221.326	0.562
 9	 3	 6	220.279	0.494
 9	 3	 7	219.429	0.495
 9	 4	 0	226.245	1.155
 9	 4	 1	225.230	1.112
 9	 4	 2	224.231	1.027
 9	 4	 3	223.255	1.038
 9	 4	 4	222.282	0.985
 9	 4	 5	221.315	0.474
 9	 4	 6	220.307	0.467
 9	 4	 7	219.334	0.450
 9	 5	 0	226.184	1.026
 9	 5	 1	225.264	0.959
 9	 5	 2	224.207	0.893
 9	 5	 3	223.298	1.001
 9	 5	 4	222.300	0.868
 9	 5	 5	221.254	0.424
 9	 5	 6	220.274	0.406
 9	 5	 7	219.373	0.414
 9	 6	 0	226.183	0.867
 9	 6	 1	225.238	0.843
 9	 6	 2	224.206	0.876
 9	 6	 3	223.261	0.789
 9	 6	 4	222.297	0.900
 9	 6	 5	221.253	0.381
 9	 6	 6	220.276	0.366
 9	 6	 7	219.152	0.370
 9	 7	 0	226.137	0.808
 9	 7	 1	225.116	0.878
 9	 7	 2	224.162	0.793
 9	 7	 3	223.251	0.675
 9	 7	 4	222.219	0.835
 9	 7	 5	221.273	0.364
 9	 7	 6	220.251	0.357
 9	 7	 7	219.120	0.333
10	 0	 0	233.225	2.187
10	 0	 1	232.318	2.262
