Energy_IN	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
42000	1590.05	1638.68	1640.96	1578.09	1660.43	1597.39	1652.37	1579.85	1656.61	1636.89	1634.11	1641.53	1588.87	1568.94	1617.79	1589.2	1654.78	1620.55	1656.31	1605.35	1696.63	1575.84	1648.95	1641.72	1625.88	1648.11	1679.5	1616.31	1589.69	1638.3	1601.08	1587.65
44000	1610.7	1657.68	1660.78	1598.21	1681.79	1619.83	1674.78	1601.5	1679.89	1658.8	1656.11	1662.65	1610.9	1589.83	1638.89	1611.16	1676.28	1638.63	1677.29	1626.63	1717.19	1596.7	1670.36	1662.18	1646.94	1668.57	1700.56	1637.89	1610.71	1658.16	1622.16	1608.4
46000	1630.92	1678.58	1681.81	1618.73	1701.94	1639.15	1694.06	1621.54	1698.95	1677.69	1675.05	1681.85	1630.62	1608.19	1657.85	1630.09	1695.8	1660.27	1697.54	1646.2	1736.34	1616.74	1690.35	1681.85	1665.84	1689.1	1719.28	1657.01	1630.74	1679.23	1642.43	1628.08
48000	1650.39	1697.99	1701.43	1638.9	1721.31	1658.13	1713.88	1641.93	1718.58	1697.49	1695.49	1702.69	1650.15	1628.77	1679.18	1649.71	1715.45	1681.44	1717	1665.38	1756.8	1636.69	1709.9	1701.56	1685.86	1707.88	1738.87	1677.52	1650.35	1699.16	1660.87	1648.74
50000	1669.59	1716.51	1719.95	1656.79	1739.77	1677.35	1731.89	1660.03	1736.13	1714.88	1712.63	1719.6	1668.3	1647.12	1697.34	1667.68	1734.87	1700.02	1735.99	1684.94	1774.83	1655.15	1727.53	1719.12	1704.84	1725.72	1758.3	1696.53	1669.64	1717.73	1681.35	1665.33
52000	1689.94	1736.96	1739.9	1676.99	1760.11	1697.34	1752.16	1680.25	1756.87	1734.63	1732.01	1739.46	1688.58	1666.43	1716.76	1687.8	1754.78	1718.94	1756.03	1704.44	1793.9	1675.31	1747.59	1739.14	1723.17	1746.33	1777.56	1716.1	1689.77	1737.86	1700.74	1685.91
54000	1708.88	1755.93	1759.26	1695.99	1778.27	1716.13	1771.13	1699.68	1775.97	1755.19	1752.67	1759.4	1708.08	1686.65	1735.9	1707.25	1773.93	1735.51	1774.61	1723.51	1813.43	1694.59	1767.27	1758.71	1742.7	1764.91	1796.25	1734.68	1708.55	1756.71	1719.05	1706.1
56000	1726.8	1775.09	1777.26	1714.49	1797.21	1733.53	1787.81	1716.66	1792.14	1770.88	1769.3	1776.09	1725.16	1704.09	1754.39	1723.8	1791	1757.06	1792.91	1741.68	1831.52	1712.01	1784	1775.81	1760.89	1782.86	1814.97	1754.24	1726.99	1775.89	1738.74	1722.96
58000	1747.13	1792.65	1795.85	1732.88	1816.47	1753.51	1808.31	1736.27	1812.38	1789.52	1787.75	1794.55	1744.72	1722.47	1773.55	1743.24	1811.56	1775.13	1812.78	1760.73	1848.22	1730.43	1803.17	1793.92	1779.34	1801.9	1833.56	1772.94	1745.91	1794.7	1756.99	1740.49
60000	1765.59	1812.93	1815.38	1753.35	1835.19	1772.51	1828.12	1757.33	1833.06	1810.97	1809.44	1815.9	1764.97	1742.84	1791.85	1763.08	1830.58	1794.91	1828.16	1780.34	1868.67	1751.31	1823.3	1814.89	1798.67	1821.68	1851.81	1791.41	1765.67	1814.21	1776.31	1760.93
62000	1781.6	1830.73	1833.26	1770.82	1851.98	1789.27	1845.21	1774.4	1849.56	1828.05	1826.04	1833.34	1782.09	1760.68	1811.31	1780.54	1847.42	1813.27	1848.22	1798.67	1885.9	1768.8	1840.4	1831.67	1816.95	1838.71	1870.43	1810.7	1783.03	1832.54	1794.17	1781.79
64000	1799.43	1847.84	1850.51	1788.07	1871.15	1808.98	1863.26	1791.96	1868.17	1845.31	1843.91	1850.61	1800.93	1778.68	1829.16	1799.28	1865.8	1831.89	1867.11	1816.96	1903.76	1786.2	1857.71	1849	1834.73	1856	1888.14	1829	1801.9	1849.54	1813.16	1796.4
