GAIN AT LOW ENERGIES
-----------------------------------------------------------------
Linear Fit in range [50 - 100] DAC_inj code
Cubic Fit in range [0 - 500] DAC_inj code
-----------------------------------------------------------------
INDEX
l_g_m: Gain obtained with linear fit and mean values
l_i_m: Intercept obtained with linear fit and mean values
l_r2_m: R^2 obtained with linear fit and mean values
l_rs_m: Residuals obtained with linear fit and mean values
l_g_mwo: Gain obtained with linear fit and mean values without outliers
l_i_mwo: Intercept obtained with linear fit and mean values without outliers
l_r2_mwo: R^2 obtained with linear fit and mean values without outliers
l_rs_mwo: Residuals obtained with linear fit and mean values without outliers
3_g_m: Gain obtained in x=0 with cubic fit and mean values
3_i_m: Intercept obtained with cubic fit and mean values
3_r2_m: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values
3_rs_m: Residuals obtained with cubic fit and mean values
3_g_mwo: Gain obtained in x=0 with cubic fit and mean values without outliers
3_i_mwo: Intercept obtained with cubic fit and mean values without outliers
3_r2_mwo: Adjusted R^2 (adjusted for cubic fit) obtained with cubic fit and mean values without outliers
3_rs_mwo: Residuals obtained with cubic fit and mean values without outliers
-----------------------------------------------------------------
ch	pt	l_g_m	l_i_m	l_r2_m	l_rs_m	l_g_mwo	l_i_mwo	l_r2_mwo	l_rs_mwo	3_g_m	3_i_m	3_r2_m	3_rs_m	3_g_mwo	3_i_mwo	3_r2_mwo	3_rs_mwo
11	 7	0.774	142.810	0.9994	0.419	0.773	142.906	0.9995	0.369	0.869	140.603	0.9951	1.611	0.867	140.634	0.9952	1.572
12	 0	1.153	141.200	0.9953	1.778	1.145	142.226	0.9925	2.226	1.643	124.020	0.9995	5.622	1.628	124.848	0.9993	6.273
12	 1	0.883	139.770	0.9937	1.578	0.884	140.457	0.9970	1.077	1.260	124.622	0.9969	3.667	1.246	125.695	0.9972	4.250
12	 2	0.796	134.880	0.9984	0.716	0.805	134.604	0.9933	1.476	1.080	122.075	0.9915	2.699	1.085	122.120	0.9919	3.058
12	 3	0.823	128.525	0.9941	1.417	0.816	129.268	0.9933	1.503	1.040	119.615	0.9954	2.341	1.030	120.240	0.9955	2.352
12	 4	0.789	127.315	0.9993	0.452	0.806	126.300	0.9999	0.180	0.978	119.337	0.9935	0.956	0.982	119.342	0.9937	0.965
12	 5	0.824	121.735	0.9937	1.468	0.817	122.431	0.9938	1.441	0.965	117.630	0.9938	1.967	0.967	117.687	0.9938	1.803
12	 6	0.776	123.500	0.9982	0.744	0.776	123.500	0.9982	0.744	0.940	117.118	0.9961	1.113	0.925	117.545	0.9963	1.078
12	 7	0.802	119.685	0.9991	0.542	0.803	119.610	0.9989	0.583	0.896	117.300	0.9949	1.325	0.893	117.440	0.9950	1.316
13	 0	1.064	183.600	0.9956	1.589	1.035	185.997	0.9904	2.285	1.577	163.894	0.9995	5.298	1.556	164.793	0.9993	5.809
13	 1	0.846	178.605	0.9961	1.177	0.825	180.713	0.9965	1.086	1.195	164.450	0.9973	2.997	1.177	165.752	0.9977	3.680
13	 2	0.779	171.875	0.9996	0.329	0.787	171.448	0.9991	0.528	1.028	161.345	0.9916	2.023	1.025	161.689	0.9922	2.028
13	 3	0.795	166.760	0.9977	0.850	0.800	166.907	0.9970	0.982	0.998	158.842	0.9957	1.987	0.995	159.361	0.9960	1.661
13	 4	0.735	168.060	0.9998	0.216	0.751	167.093	0.9987	0.617	0.943	158.451	0.9939	2.001	0.943	158.575	0.9938	2.103
13	 5	0.792	161.080	0.9921	1.580	0.786	161.674	0.9923	1.553	0.943	156.124	0.9935	1.822	0.944	156.216	0.9936	1.696
13	 6	0.728	163.810	0.9982	0.687	0.731	163.658	0.9986	0.614	0.908	156.023	0.9965	1.440	0.909	156.041	0.9965	1.524
13	 7	0.776	158.460	0.9996	0.364	0.784	157.903	0.9999	0.151	0.846	157.200	0.9960	0.915	0.847	157.154	0.9960	1.026
14	 0	1.185	207.450	0.9971	1.425	1.198	206.366	0.9966	1.564	1.699	189.118	0.9996	4.998	1.676	190.106	0.9996	4.932
14	 1	0.892	207.215	0.9961	1.245	0.891	207.842	0.9987	0.713	1.286	190.624	0.9970	3.195	1.264	192.001	0.9972	3.706
14	 2	0.810	201.025	0.9983	0.746	0.810	201.221	0.9969	1.016	1.083	188.689	0.9920	1.982	1.083	188.981	0.9925	1.936
14	 3	0.853	192.570	0.9972	1.019	0.858	192.317	0.9981	0.846	1.036	185.789	0.9958	2.151	1.022	186.660	0.9960	1.600
14	 4	0.785	193.970	1.0000	0.097	0.804	192.999	0.9995	0.384	0.982	184.984	0.9939	1.829	0.987	185.108	0.9942	2.035
14	 5	0.835	186.875	0.9949	1.342	0.840	186.745	0.9949	1.346	0.963	183.045	0.9940	1.819	0.971	182.862	0.9946	1.718
14	 6	0.786	188.270	0.9983	0.721	0.795	187.631	0.9979	0.814	0.916	183.005	0.9968	1.094	0.921	182.864	0.9968	1.191
14	 7	0.798	185.510	0.9986	0.674	0.798	185.510	0.9986	0.674	0.897	182.314	0.9951	1.195	0.893	182.418	0.9953	1.217
15	 0	1.216	172.960	0.9954	1.846	1.239	171.068	0.9892	2.898	1.767	152.541	0.9995	5.988	1.742	153.596	0.9995	6.114
15	 1	0.939	170.415	0.9926	1.817	0.928	171.661	0.9928	1.763	1.336	154.327	0.9970	3.839	1.316	155.737	0.9971	4.212
15	 2	0.839	164.765	0.9963	1.145	0.855	163.984	0.9903	1.897	1.120	152.411	0.9915	2.419	1.124	152.543	0.9920	2.822
